	tweet source	counter	compound	negative	neutral	positive	text	created_at
29	@CNNbrk	30	0.0	0.0	1.0	0.0	@cnnbrk I remember when I thought being in politics was a vocation. That you were in it to make a difference. Now,… https://t.co/DUC8jHvVR6	Sat Apr 28 15:19:16 +0000 2018
30	@CNNbrk	31	0.0	0.0	1.0	0.0	@POTUS @VP @realDonaldTrump @WhiteHouse @RealJamesWoods @RealOmarNavarro @JanMorgan_ @SheriffClarke @DineshDSouza… https://t.co/yGfWAlAzLg	Sat Apr 28 15:18:57 +0000 2018
31	@CNNbrk	32	-0.296	0.091	0.909	0.0	RT @cnnbrk: Texas will be allowed to enforce its voter ID law in the upcoming election after a federal appeals court overruled a lower cour…	Sat Apr 28 15:18:49 +0000 2018
32	@CNNbrk	33	0.0	0.0	1.0	0.0	@POTUS @VP @realDonaldTrump @WhiteHouse @RealJamesWoods @RealOmarNavarro @JanMorgan_ @SheriffClarke @DineshDSouza… https://t.co/IFXj2wPGgX	Sat Apr 28 15:18:43 +0000 2018
33	@CNNbrk	34	-0.7906	0.241	0.759	0.0	RT @cnnbrk: Formal end to Korean War will be declared later this year, 65 years after hostilities ceased, North and South Korean leaders ag…	Sat Apr 28 15:18:14 +0000 2018
34	@CNNbrk	35	-0.7506	0.211	0.789	0.0	RT @cnnbrk: Rights group says toll from unrest in Nicaragua last week is now up to 38 killed. The protests were the largest since civil war…	Sat Apr 28 15:17:57 +0000 2018
35	@CNNbrk	36	-0.5106	0.191	0.721	0.088	"RT @cnnbrk: James Shaw Jr., 29, was identified as the man who charged the Waffle House killer and wrestled away his rifle. ""He saved many l…"	Sat Apr 28 15:17:42 +0000 2018
36	@CNNbrk	37	-0.7906	0.241	0.759	0.0	RT @cnnbrk: Formal end to Korean War will be declared later this year, 65 years after hostilities ceased, North and South Korean leaders ag…	Sat Apr 28 15:17:27 +0000 2018
37	@CNNbrk	38	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:16:45 +0000 2018
38	@CNNbrk	39	0.0	0.0	1.0	0.0	@RT_com RT this is a garbage tweet... We can only have one @cnnbrk at a time. Slowdown.	Sat Apr 28 15:16:17 +0000 2018
39	@CNNbrk	40	-0.296	0.091	0.909	0.0	RT @cnnbrk: Texas will be allowed to enforce its voter ID law in the upcoming election after a federal appeals court overruled a lower cour…	Sat Apr 28 15:16:08 +0000 2018
40	@CNNbrk	41	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:15:52 +0000 2018
41	@CNNbrk	42	0.0	0.0	1.0	0.0	RT @cnnbrk: Newly surfaced emails indicate the Russian lawyer at the 2016 Trump Tower meeting had closer ties to the Kremlin than she sugge…	Sat Apr 28 15:15:09 +0000 2018
42	@CNNbrk	43	-0.5859	0.36	0.484	0.156	@Illyria1217 @cnnbrk That’s disgusting . I hope he turns into someone’s woman in prison .	Sat Apr 28 15:14:58 +0000 2018
43	@CNNbrk	44	0.0	0.0	1.0	0.0	@cnnbrk  https://t.co/RsyViFL0mk	Sat Apr 28 15:14:56 +0000 2018
44	@CNNbrk	45	0.0	0.0	1.0	0.0	RT @dankie_w: @street_global @Bra_sly_gh @GHOneTV @BBCAfrica @BBCWorld @utvghana @CNNAfrica @cnnbrk @OmgVoiceGhana below is medical report…	Sat Apr 28 15:14:49 +0000 2018
45	@CNNbrk	46	0.0	0.0	1.0	0.0	@cnnbrk @ABCPolitics @NBCNews @CBSNews @CP24 @CBCNews Why is the liberal media willing to believe the Russian lawye… https://t.co/r0OcH72Mb6	Sat Apr 28 15:14:40 +0000 2018
46	@CNNbrk	47	0.5499	0.0	0.798	0.202	"The Yemeni civil life is coming, but the Gulf must support Yemen

#UAE_In_Yemen

@cnnbrk https://t.co/442BZ3RnTe"	Sat Apr 28 15:14:38 +0000 2018
47	@CNNbrk	48	0.0	0.0	1.0	0.0	@BBCNews @itvnews @AFP @guardiannews @CBSNews @SkyNews  @cnnbrk @AlJazeera  @nytimes @NewYorker @nypost @Reuters… https://t.co/LdQTvBLvdM	Sat Apr 28 15:14:32 +0000 2018
48	@CNNbrk	49	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:14:23 +0000 2018
49	@CNNbrk	50	0.0	0.0	1.0	0.0	@cnnbrk All right wing politicians are corrupt. It’s only that some of them haven’t been found out yet.	Sat Apr 28 15:14:18 +0000 2018
50	@CNNbrk	51	0.0	0.0	1.0	0.0	RT @Weekenderalways: @realDonaldTrump @maddow @washingtonpost @cnnbrk @CNN @BBCBreaking @BBCWorld https://t.co/eVl9Uk5uk6	Sat Apr 28 15:14:17 +0000 2018
51	@CNNbrk	52	0.0	0.0	1.0	0.0	"RT @Khunarai2: @rafiziramli @rafiziramli @CNN @cnnbrk @idCNN @sayasayangtunm
@limkitsiang @anwaribrahim
RO Hafizan Idris tidak professional…"	Sat Apr 28 15:14:16 +0000 2018
52	@CNNbrk	53	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:14:05 +0000 2018
53	@CNNbrk	54	0.6369	0.0	0.802	0.198	RT @AdventurerAlan: #Kenya Bans Film About 2 Girls in Love Because It’s ‘Too Hopeful’   via @NYTimes @HuffPost @MSignorile @TheAdvocateMag…	Sat Apr 28 15:14:03 +0000 2018
54	@CNNbrk	55	-0.34	0.196	0.67	0.134	"The killing of Salah al - Samad strengthens the role of the UAE in Yemen

#UAE_In_Yemen

@cnnbrk https://t.co/SHpFedn6ba"	Sat Apr 28 15:13:39 +0000 2018
55	@CNNbrk	56	0.0	0.0	1.0	0.0	@cnnbrk Yawning....	Sat Apr 28 15:13:28 +0000 2018
56	@CNNbrk	57	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:13:21 +0000 2018
57	@CNNbrk	58	0.0	0.0	1.0	0.0	RT @narayan67162584: @lekhramdaas @cmohry @mlkhattar @pmomodifan सब भ्रष्टाचार फेला पड़ा हे भाई नेता खुद भ्रष्ट होते हे तो ये सच क्यु बता…	Sat Apr 28 15:12:17 +0000 2018
58	@CNNbrk	59	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:12:13 +0000 2018
59	@CNNbrk	60	0.0	0.0	1.0	0.0	@maddow @washingtonpost @nytimes @guardian @BBCBreaking @cnnbrk @CNN @BBCWorld https://t.co/w2gYUlIYbr	Sat Apr 28 15:11:59 +0000 2018
60	@CNNbrk	61	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:11:47 +0000 2018
61	@CNNbrk	62	-0.7845	0.301	0.699	0.0	RT @HashiMandokhail: Hundreds of human right activists in Pakistan are facing worst kind of intimidation , harasment and https://t.co/rYznr…	Sat Apr 28 15:11:30 +0000 2018
62	@CNNbrk	63	0.6369	0.0	0.802	0.198	RT @AdventurerAlan: #Kenya Bans Film About 2 Girls in Love Because It’s ‘Too Hopeful’   via @NYTimes @HuffPost @MSignorile @TheAdvocateMag…	Sat Apr 28 15:11:28 +0000 2018
63	@CNNbrk	64	-0.765	0.297	0.703	0.0	@jjbsaunders @vnktrag1 @cnnbrk No reason to move forward though. They get infected with diseases in the classroom there is no difference.	Sat Apr 28 15:11:13 +0000 2018
64	@CNNbrk	65	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:11:01 +0000 2018
65	@CNNbrk	66	-0.5983	0.186	0.814	0.0	@WapaTV El Barrio Almirante Sur, sector murciélago y la Pica de Vega Baja siguen sin luz! @ElNuevoDia @nytimes… https://t.co/FTqmqwA0T9	Sat Apr 28 15:10:47 +0000 2018
66	@CNNbrk	67	0.8591	0.0	0.618	0.382	@cnnbrk Send a hug and support Toronto. Take a picture like this one and share it on social media with the hashtag… https://t.co/EdOjofBv0J	Sat Apr 28 15:10:46 +0000 2018
67	@CNNbrk	68	0.4404	0.0	0.854	0.146	RT @robertdumenu: #Gringo is Dancehall Now Thanks to @shattawalegh , Africa now holds The banner @cnni @GRAMMYAdvocacy @MTVAfrica @RICHGANG…	Sat Apr 28 15:10:40 +0000 2018
68	@CNNbrk	69	0.0	0.0	1.0	0.0	@realDonaldTrump @maddow @washingtonpost @cnnbrk @CNN @BBCBreaking @BBCWorld https://t.co/eVl9Uk5uk6	Sat Apr 28 15:10:34 +0000 2018
69	@CNNbrk	70	0.0	0.0	1.0	0.0	@cnnbrk And at a bank to get money too	Sat Apr 28 15:10:29 +0000 2018
70	@CNNbrk	71	0.0	0.0	1.0	0.0	RT @ProsperBuild: @rushanaraali @ChukaUmunna @DrRosena @Alison_McGovern @CarolineLucas @DavidLammy @jessphillips @RupaHuq @stellacreasy @SK…	Sat Apr 28 15:10:23 +0000 2018
71	@CNNbrk	72	-0.3089	0.097	0.903	0.0	@cnnbrk Why oh why is CNN not interested in Hillary and dems collsuion with Russia when they paid for Russian intel… https://t.co/9g3msK2Cns	Sat Apr 28 15:10:15 +0000 2018
72	@CNNbrk	73	-0.4522	0.156	0.844	0.0	@cnnbrk I have to show a ID to by beer so what's the problem with showing it to vote	Sat Apr 28 15:10:10 +0000 2018
73	@CNNbrk	74	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:10:03 +0000 2018
74	@CNNbrk	75	-0.5423	0.171	0.829	0.0	@StefanMolyneux @DocWashburn So is it time to charge cnn for felony acts? @cnnbrk @CNNPolitics &gt; I think it’s time	Sat Apr 28 15:09:06 +0000 2018
75	@CNNbrk	76	-0.5267	0.523	0.227	0.25	@cnnbrk Hell yeah baby	Sat Apr 28 15:08:02 +0000 2018
76	@CNNbrk	77	-0.7506	0.211	0.789	0.0	RT @cnnbrk: Rights group says toll from unrest in Nicaragua last week is now up to 38 killed. The protests were the largest since civil war…	Sat Apr 28 15:07:56 +0000 2018
77	@CNNbrk	78	0.0	0.0	1.0	0.0	@TurkeyPurge @AP @ReutersWorld @cnnbrk @WSJ @CBSNews @AJELive @BBCBreaking	Sat Apr 28 15:07:25 +0000 2018
78	@CNNbrk	79	-0.8655	0.427	0.573	0.0	@KatiePavlich @benshapiro Fake news!....that destroys a man’s family and career.  Why can’t we prosecute for tabloi… https://t.co/VPRmFB3hlP	Sat Apr 28 15:07:19 +0000 2018
79	@CNNbrk	80	0.6369	0.0	0.781	0.219	#Kenya Bans Film About 2 Girls in Love Because It’s ‘Too Hopeful’   via @NYTimes @HuffPost @MSignorile… https://t.co/mqnUp7LnuC	Sat Apr 28 15:07:09 +0000 2018
80	@CNNbrk	81	0.872	0.0	0.632	0.368	Hospitals in #Honduras in great conditions all thanks to the gov. of @JuanOrlandoH &amp; to #USA for supporting corrupt… https://t.co/10JIFwuEAY	Sat Apr 28 15:06:54 +0000 2018
81	@CNNbrk	82	-0.5423	0.28	0.72	0.0	@CNNbrk should be destroy and taken off the air. https://t.co/nqLlWnYPcS	Sat Apr 28 15:06:37 +0000 2018
82	@CNNbrk	83	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:06:28 +0000 2018
83	@CNNbrk	84	0.25	0.0	0.846	0.154	RT @Tentoads4truth: @cnnbrk Jackson also serves the interests of the Kochs https://t.co/YAg3CPyIY4	Sat Apr 28 15:06:16 +0000 2018
84	@CNNbrk	85	0.0	0.0	1.0	0.0	@cnnbrk Hey #Clintonnewnetwork someone should be asking why the FBI and DOJ r getting out of handing over all the d… https://t.co/Y0obyonnUU	Sat Apr 28 15:06:08 +0000 2018
85	@CNNbrk	86	0.2732	0.157	0.602	0.241	RT @OfficialJoelF: #BREAKING: North and South Korea agree to sign peace treaty,officially ending the Korean War (@cnnbrk) https://t.co/qrJr…	Sat Apr 28 15:05:29 +0000 2018
86	@CNNbrk	87	0.6597	0.0	0.69	0.31	#Innovation: duty of care: lender &gt; borrower? Join conversation   @IMF@theeconomist @reuters @bbcbreaking @cnnbrk… https://t.co/HpRKbvSMoq	Sat Apr 28 15:05:16 +0000 2018
87	@CNNbrk	88	-0.7804	0.315	0.595	0.089	RT @thewoman62: @JackPosobiec @5228027s Doesn't this now make #JakeTapper party to a FELONY crime &amp; shldn't he also be charged for the same…	Sat Apr 28 15:05:11 +0000 2018
88	@CNNbrk	89	-0.296	0.091	0.909	0.0	RT @cnnbrk: Texas will be allowed to enforce its voter ID law in the upcoming election after a federal appeals court overruled a lower cour…	Sat Apr 28 15:04:15 +0000 2018
89	@BBCBreaking	1	0.0	0.0	1.0	0.0	"@KnowsHisNoses @3milyLiu @MrsTheresaMay @BBCBreaking Prince-harry-in-a-nazi-uniform.jpg

Ya'll know the picture I m… https://t.co/Kp0hWcN19Q"	Sat Apr 28 15:28:13 +0000 2018
90	@BBCBreaking	2	0.0258	0.0	0.942	0.058	RT @BBCBreaking: British supermarket chains Sainsbury's and Asda in merger talks - although both brands expected to be retained https://t.c…	Sat Apr 28 15:28:09 +0000 2018
91	@BBCBreaking	3	0.0	0.0	1.0	0.0	RT @Tp3LwlMZ0vmE13C: @USAdarFarsi @EricTrump @VOAIran @bbcpersian @dw_persian @RadioFarda_ @PahlaviReza @FaranakAzad1 @ir_humanrights @BBCB…	Sat Apr 28 15:28:02 +0000 2018
92	@BBCBreaking	4	0.0	0.0	1.0	0.0	"RT @BBCBreaking: Duke &amp; Duchess of Cambridge name #royalbaby Louis Arthur Charles 

https://t.co/DlrynYdFzv https://t.co/Vr80AhI0zC"	Sat Apr 28 15:28:01 +0000 2018
93	@BBCBreaking	5	0.0	0.0	1.0	0.0	RT @KiranSonkar13: @RDMaurya16 @RDDAS14 @apnlivehindi @narendramodi @BeingSalmanKhan @kpmaurya1 @sachin_rt #PredictionsAbout_SaintRampalJi…	Sat Apr 28 15:27:51 +0000 2018
94	@BBCBreaking	6	-0.7661	0.584	0.416	0.0	@BBCBreaking this is so fucked	Sat Apr 28 15:27:51 +0000 2018
95	@BBCBreaking	7	0.0258	0.0	0.942	0.058	RT @BBCBreaking: British supermarket chains Sainsbury's and Asda in merger talks - although both brands expected to be retained https://t.c…	Sat Apr 28 15:27:42 +0000 2018
96	@BBCBreaking	8	0.4404	0.0	0.838	0.162	@SPC_1974 @freyaKj @Jules_d77 @ciaratherese @missluvian @BBCBreaking I don't know what would have been better for h… https://t.co/wcxtIlhGwl	Sat Apr 28 15:27:34 +0000 2018
97	@BBCBreaking	9	-0.836	0.305	0.695	0.0	RT @BBCBreaking: We're heartbroken, say the parents of 23-month-old Alfie Evans, as they announce that the toddler died overnight https://t…	Sat Apr 28 15:27:12 +0000 2018
98	@BBCBreaking	10	0.0	0.0	1.0	0.0	@TheTrulyMad @BBCBreaking Has a ring to it	Sat Apr 28 15:27:02 +0000 2018
99	@BBCBreaking	11	0.0258	0.0	0.942	0.058	RT @BBCBreaking: British supermarket chains Sainsbury's and Asda in merger talks - although both brands expected to be retained https://t.c…	Sat Apr 28 15:26:48 +0000 2018
100	@BBCBreaking	12	0.0	0.0	1.0	0.0	"RT @RamjiVe02121148: #FridayFeeling  
मीडिया वालों इससे पहले कि जनता तुमको सुधारे #वक्तरहते_सुधरजाओ क्योकि तुम अपने फायदे के लिए देश भी बेच…"	Sat Apr 28 15:26:46 +0000 2018
101	@BBCBreaking	13	0.0	0.0	1.0	0.0	"RT @prem76637681: माननीय जी,
              आप अपने संकल्प-पत्र पर ध्यान दीजिये। शिक्षामित्रों को न्याय दीजिये।नियमित कीजिए।
#शिक्षामित्रों_…"	Sat Apr 28 15:26:26 +0000 2018
102	@BBCBreaking	14	0.0	0.0	1.0	0.0	@D_I_Roberts @BBCBreaking AlWait? Kind of what everyone is doing at the checkouts already.	Sat Apr 28 15:26:14 +0000 2018
103	@BBCBreaking	15	0.0	0.0	1.0	0.0	RT @Coded_19: @BBCBreaking Ah say what ???	Sat Apr 28 15:26:12 +0000 2018
104	@BBCBreaking	16	0.0	0.0	1.0	0.0	"RT @prem76637681: माननीय जी,
              आप अपने संकल्प-पत्र पर ध्यान दीजिये। शिक्षामित्रों को न्याय दीजिये।नियमित कीजिए।
#शिक्षामित्रों_…"	Sat Apr 28 15:26:08 +0000 2018
105	@BBCBreaking	17	0.0	0.0	1.0	0.0	"RT @KiranSonkar13: #DDvKKR
#PredictionsAbout_SaintRampalJi
#weekend
संत रामपाल जी महाराज ने सभी धर्मों को एक माना है
जो भी भक्ति बता रहे है…"	Sat Apr 28 15:26:06 +0000 2018
106	@BBCBreaking	18	0.5574	0.147	0.467	0.387	@BBCBreaking No thanks. Sainsbury's has better quality food to Asda.	Sat Apr 28 15:25:55 +0000 2018
107	@BBCBreaking	19	0.0258	0.0	0.942	0.058	RT @BBCBreaking: British supermarket chains Sainsbury's and Asda in merger talks - although both brands expected to be retained https://t.c…	Sat Apr 28 15:25:49 +0000 2018
108	@BBCBreaking	20	0.0	0.0	1.0	0.0	RT @pandeyji0786: @suraj9927 @FaridiTalib @MishraViniii @RSSorg @BJP4India @rsprasad @SushmaSwaraj @nsitharaman @UNHumanRights @rajnathsing…	Sat Apr 28 15:25:42 +0000 2018
109	@BBCBreaking	21	0.0	0.0	1.0	0.0	RT @MahenMayekar: Why employees of 63Moons are targeted #ProtestAgainstPersecution @PMOIndia @narendramodi @BBCBreaking @Dev_Fadnavis @arun…	Sat Apr 28 15:25:38 +0000 2018
110	@BBCBreaking	22	0.0	0.0	1.0	0.0	@BBCBreaking Assbury's	Sat Apr 28 15:25:34 +0000 2018
111	@BBCBreaking	23	-0.4767	0.256	0.744	0.0	@i_am_Taher @SayedAh71 @AJEnglish @BBCBreaking @VOANews This lady is wrong headed	Sat Apr 28 15:25:18 +0000 2018
112	@BBCBreaking	24	0.0258	0.0	0.942	0.058	RT @BBCBreaking: British supermarket chains Sainsbury's and Asda in merger talks - although both brands expected to be retained https://t.c…	Sat Apr 28 15:25:17 +0000 2018
113	@BBCBreaking	25	-0.3612	0.304	0.507	0.189	@BBCBreaking Great Britain should be ashamed of itself. The world watched you fail epically.	Sat Apr 28 15:25:13 +0000 2018
114	@BBCBreaking	26	-0.0516	0.109	0.792	0.099	@fickets0 @attilahen89 @ssumer9 @FlabbywallV @BBCBreaking He had no chance of recovery or life. That's why they pul… https://t.co/4p8PjtygL0	Sat Apr 28 15:25:10 +0000 2018
115	@BBCBreaking	27	-0.6739	0.245	0.755	0.0	@BBCBreaking The above Tweet from me WTF? It should read “Could Have called it Sadder”	Sat Apr 28 15:24:58 +0000 2018
116	@BBCBreaking	28	0.296	0.0	0.905	0.095	@BBCBreaking Why doesn't all the TV media join together for one news program because all they do is follow each oth… https://t.co/GXFhYHVJlt	Sat Apr 28 15:24:53 +0000 2018
117	@BBCBreaking	29	-0.1027	0.076	0.924	0.0	"RT @Mishthi4u: #womenempowerment
#WomenAppeasement
On it's way, children needs to remain cautious. Saperate child ministry instead of @Mini…"	Sat Apr 28 15:24:03 +0000 2018
118	@BBCBreaking	30	0.3182	0.0	0.827	0.173	@meantartarsauce @MinooOsborne @leigh_shaddick @ElizabethRBess @Will_Broadfoot @BBCBreaking Not even sure where to… https://t.co/yNAwTCbBAi	Sat Apr 28 15:23:59 +0000 2018
119	@BBCBreaking	31	-0.296	0.145	0.855	0.0	@Weescosha @BBCBreaking It’s already been reported on and there’s no updates at the moment	Sat Apr 28 15:23:56 +0000 2018
120	@BBCBreaking	32	0.0258	0.0	0.942	0.058	RT @BBCBreaking: British supermarket chains Sainsbury's and Asda in merger talks - although both brands expected to be retained https://t.c…	Sat Apr 28 15:23:53 +0000 2018
121	@BBCBreaking	33	0.1471	0.11	0.751	0.139	@ssumer9 @FlabbywallV @BBCBreaking No you used a generic disease everyone gets that isn't life threatening to make… https://t.co/7YB4lm8d8v	Sat Apr 28 15:23:40 +0000 2018
122	@BBCBreaking	34	0.0	0.0	1.0	0.0	RT @AvneshSinghCha5: @pandeyji0786 @NeetikaPandey4 @suraj9927 @FaridiTalib @MishraViniii @RSSorg @BJP4India @rsprasad @SushmaSwaraj @nsitha…	Sat Apr 28 15:23:39 +0000 2018
123	@BBCBreaking	35	0.0	0.0	1.0	0.0	"RT @BBCBreaking: Duke &amp; Duchess of Cambridge name #royalbaby Louis Arthur Charles 

https://t.co/DlrynYdFzv https://t.co/Vr80AhI0zC"	Sat Apr 28 15:23:31 +0000 2018
124	@BBCBreaking	36	0.0	0.0	1.0	0.0	@BBCBreaking The mother of the child had more rights than anyone could’ve. It’s stupif how they didn’t let her take… https://t.co/WZrmcV9u3l	Sat Apr 28 15:23:18 +0000 2018
125	@BBCBreaking	37	0.0	0.0	1.0	0.0	@peteaustin6 @BBCBreaking @mikeglasgowuk 🙃	Sat Apr 28 15:23:04 +0000 2018
